RPM, Throttle, W_Temp, A_Temp, KPH, O_Press, F_Press, O_Temp, Volts, Gear
13102,0,27,25,244,196,58,58,0,1
13102,0,27,25,244,196,58,58,0,1
13102,0,27,25,244,196,58,58,0,1
13102,0,27,25,244,196,58,58,0,1
13102,0,27,25,244,196,58,58,0,1
13102,0,27,25,244,196,58,58,0,1
13102,0,27,25,244,196,58,58,0,1
13102,0,27,25,244,196,58,58,0,1
13102,0,27,25,244,196,58,58,0,1
13102,0,27,25,244,196,58,58,0,1
13102,0,27,25,244,196,58,58,0,1
13102,0,27,25,244,196,58,58,0,1
13102,0,27,25,244,196,58,58,0,1
13063,0,27,25,243,217,58,57,0,1
12818,0,28,25,238,306,58,56,0,1
12525,0,29,25,233,393,58,55,0,1
12289,0,30,25,228,447,58,54,0,1
12003,0,31,25,223,497,58,53,0,1
11779,0,32,25,219,527,58,53,0,1
11503,0,33,25,214,554,58,52,0,1
11292,0,34,25,210,569,58,51,0,1
11030,0,34,25,205,581,58,51,0,1
10826,0,35,25,201,586,58,50,0,1
10628,0,36,25,197,589,58,50,0,1
10585,0,36,25,194,589,58,49,0,1
10964,0,37,25,198,592,58,49,0,1
11770,1,37,25,209,602,58,48,0,1
12375,1,38,25,220,615,58,48,0,1
13073,1,38,25,232,637,58,48,0,1
13790,1,38,25,245,662,58,47,0,1
13963,0,39,25,253,684,58,47,0,0
12948,1,39,25,256,694,58,47,0,2
11613,1,39,25,267,694,58,47,0,2
11047,1,40,25,276,681,58,46,0,2
11393,1,40,25,285,670,58,46,0,2
11779,1,40,25,295,666,58,46,0,2
12085,1,40,25,303,666,58,46,0,2
12391,1,40,25,310,670,58,46,0,2
12769,1,41,25,320,678,58,46,0,2
13063,1,41,25,327,687,58,46,0,2
13359,1,41,25,335,697,58,46,0,2
13724,1,41,25,344,711,58,46,0,2
14014,1,41,25,351,723,58,46,0,2
13777,0,41,25,356,736,58,45,0,0
12919,1,42,25,357,734,58,45,0,3
11113,1,42,25,367,722,58,45,0,3
10852,1,42,25,373,700,58,45,0,3
10997,1,42,25,378,684,58,45,0,3
11150,1,42,25,384,673,58,45,0,3
11303,1,42,25,389,665,58,45,0,3
11493,1,42,25,395,659,58,45,0,3
11645,1,42,25,400,657,58,45,0,3
